family_id,video_id,title,source_url,candidate_family_hint,cluster_size,cluster_confidence,source_fidelity,rule_status,backtest_allowed
EIG011,D4JL_bRpG6Q,Covered Call Mastery With Downside Hedge 💀,https://www.youtube.com/watch?v=D4JL_bRpG6Q,covered_call,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG012,igUs-iyxhzE,🔥Cross Calendar Setup for Working Professionals ,https://www.youtube.com/watch?v=igUs-iyxhzE,calendar|covered_call|iron_condor|ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG013,jibvZlF_pzg,Cross Calendar Strategy,https://www.youtube.com/watch?v=jibvZlF_pzg,calendar,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG014,sAIzB6LTo4A,Diagonal Calendar Spread | For Low Vix Trading,https://www.youtube.com/watch?v=sAIzB6LTo4A,calendar|diagonal|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG015,91kS7WII9Lg,🔥 Double Calendar Hedged Strategy For Busy People ,https://www.youtube.com/watch?v=91kS7WII9Lg,calendar|iron_fly,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG016,2gxtLyEkmHs,⚔️ Expiry Day Gamma Strategy for Intraday Traders,https://www.youtube.com/watch?v=2gxtLyEkmHs,debit_spread|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG017,8-p_oYdQzbQ,Fearless Calendar Strike Force,https://www.youtube.com/watch?v=8-p_oYdQzbQ,calendar|diagonal|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG018,2p7qJSY3l0w,Frog Jump Stock Options Strategy for Working People |,https://www.youtube.com/watch?v=2p7qJSY3l0w,debit_spread|iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG019,n1ZmTP7wwNM,"-₹₹ How I Rescued a Dying IronFly in One Simple Move""",https://www.youtube.com/watch?v=n1ZmTP7wwNM,iron_condor|iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG020,6S4Uj6rC_EE,How to Adjust Calendar Trades in Tough Markets ,https://www.youtube.com/watch?v=6S4Uj6rC_EE,calendar|credit_spread|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG021,O0I-27anGhY,IN-THE-M0NEY Covered Call Secrets No One Talks About !,https://www.youtube.com/watch?v=O0I-27anGhY,covered_call,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG022,nPTyCdDcl_I,Intraday Stock Options Writing Strategy,https://www.youtube.com/watch?v=nPTyCdDcl_I,unresolved,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG023,1eEQdN6sobc,Iron-Clad Option Strategy,https://www.youtube.com/watch?v=1eEQdN6sobc,iron_condor|iron_fly|ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG024,1V-06qTH5Rc,Iron Condor Adjustment ,https://www.youtube.com/watch?v=1V-06qTH5Rc,iron_condor|iron_fly|leaps,2,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG024,0qHsGg2YDIg,📌 Iron Condor Super Adjustments ,https://www.youtube.com/watch?v=0qHsGg2YDIg,iron_condor|iron_fly|leaps,2,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG025,Kh6zy3hy4Lo,🔥 IRON-FLY Damage Control Protocol,https://www.youtube.com/watch?v=Kh6zy3hy4Lo,calendar|iron_fly,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG026,jpetJcmqBiI,Iron Fly Rescue 🔥 ,https://www.youtube.com/watch?v=jpetJcmqBiI,credit_spread|debit_spread|iron_fly|ratio_spread|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG027,7t6y29xJRMg,🔥 Iron Fly Strategy Adjustment When Markets Turn Wild ⚔️ ,https://www.youtube.com/watch?v=7t6y29xJRMg,iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG028,pnQ9zzOTrxA,IronFly Bounce Back Adjustment💭 ,https://www.youtube.com/watch?v=pnQ9zzOTrxA,iron_fly,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG029,BaGDEK0Moik,IronFly Range Extender for Fast Markets,https://www.youtube.com/watch?v=BaGDEK0Moik,iron_fly|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG030,sNFT-l6c54k,L.E.A.P.S - Set & Forget Leaps Formula,https://www.youtube.com/watch?v=sNFT-l6c54k,leaps|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG031,Hk55IhMoYAQ,Leaps Calendar pro Strategy for Working People,https://www.youtube.com/watch?v=Hk55IhMoYAQ,calendar|leaps|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG032,0a5xwwkChd4,🦁#Leaps Passive Trading. Here's How.,https://www.youtube.com/watch?v=0a5xwwkChd4,leaps|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG033,EZZzwpLpghM,"LOSING-OPTION-TRADE? ""USE TIME'"" Method | Bear Put , Bull Call Adjustment",https://www.youtube.com/watch?v=EZZzwpLpghM,debit_spread|iron_fly,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG034,GbmLdB95tv0,Low Vix Calendar Adjustments ,https://www.youtube.com/watch?v=GbmLdB95tv0,calendar|iron_fly|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG035,02Id0-s1upM,"""Magnet-Block"" Options Buyers Miss this Secret !",https://www.youtube.com/watch?v=02Id0-s1upM,iron_fly|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG036,5xz7X5QsFv8,Nifty Iron Dome ¦ 2 Adjustments Only for Working People ,https://www.youtube.com/watch?v=5xz7X5QsFv8,iron_condor|iron_fly|straddle,2,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG036,9cetNfglyO4,Nifty Iron Dome Options Strategy ¦ 2 Adjustments Only for Working People,https://www.youtube.com/watch?v=9cetNfglyO4,iron_condor|iron_fly|straddle,2,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG037,OvaJumYancs,No More Straddles. This Strategy Is Smarter,https://www.youtube.com/watch?v=OvaJumYancs,straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG038,Yaf0-MQpciA,Operation Budget Day: The Options Strategy + Adjustments + XXXL Wide Range,https://www.youtube.com/watch?v=Yaf0-MQpciA,iron_fly|ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG039,9xXF9gIKQ-A,Operation Double Iron - Diwali Special Video ,https://www.youtube.com/watch?v=9xXF9gIKQ-A,iron_fly|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG040,3A8iiHtQs4I,Options Trading with ChatGPT - My Real TradingView Workflow ,https://www.youtube.com/watch?v=3A8iiHtQs4I,unresolved,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG041,Cw_vTBiogm0,Ratio Spread + Sniper Hedge ,https://www.youtube.com/watch?v=Cw_vTBiogm0,credit_spread|iron_condor|ratio_spread|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG042,xI3lwE-U3sc,⚡ Ratio Spread (Unheard) Adjustment BEAST MODE,https://www.youtube.com/watch?v=xI3lwE-U3sc,ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG043,6_W4UpFsehs,Retail Option Seller's Diagonal Setup for Low Vix,https://www.youtube.com/watch?v=6_W4UpFsehs,calendar|diagonal|iron_condor,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG044,aRjY_O6U3nQ,Retail Option Sellers Need This First - STRANGLE AIR DEFENSE SYSTEM,https://www.youtube.com/watch?v=aRjY_O6U3nQ,iron_condor|jade_lizard|ratio_spread|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG045,hAy3T7sE5qo,🔥 RR 1:5 LEAPS OPTIONS STRATEGY ¦ Professional Hedged Setup ¦ #equityincome ,https://www.youtube.com/watch?v=hAy3T7sE5qo,leaps|ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG046,E9F9nCTyO-Q,Short Straddle: The Final Adjustment When All Else Fails,https://www.youtube.com/watch?v=E9F9nCTyO-Q,straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG047,8Wr_PWXnztY,Smarter Covered Call | Stop Wasting Premium !,https://www.youtube.com/watch?v=8Wr_PWXnztY,covered_call,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG048,b-ZZIBhX7fI,Stock Options Masterclass: High IV Sniper Entry ,https://www.youtube.com/watch?v=b-ZZIBhX7fI,iron_fly|ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG049,-7kAJqEtBS8,Stock Options Selling with This Indicator | Catch better Levels #equityincome,https://www.youtube.com/watch?v=-7kAJqEtBS8,debit_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG050,ktqzzUvoUFA,STOCK OPTIONS WAR MODE - The RSI Entry,https://www.youtube.com/watch?v=ktqzzUvoUFA,debit_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG051,vluJW5DVDbg,"Straddle Adjustment So Smart, It Feels Unfair !",https://www.youtube.com/watch?v=vluJW5DVDbg,straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG052,ETiyK2Ybci8,Straddle In Loss? 1000 Point Hedged Adjustment,https://www.youtube.com/watch?v=ETiyK2Ybci8,credit_spread|ratio_spread|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG053,QgsC28PVPXo,The Calendar Options Combat Plan For Working People,https://www.youtube.com/watch?v=QgsC28PVPXo,calendar,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG054,sMZGbncoeKo,The Iron Hedge | LEAPS Options Strategy,https://www.youtube.com/watch?v=sMZGbncoeKo,covered_call|leaps,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG055,5Dr2SL-MQxY,The Put Shield options Strategy,https://www.youtube.com/watch?v=5Dr2SL-MQxY,ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG056,mezwEBOn0bY,The Ratio Spread For 💪🏻 Alpha Sellers ,https://www.youtube.com/watch?v=mezwEBOn0bY,debit_spread|ratio_spread|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG057,851ZmXYon64,"The Ratio Spread ""War"" Machine Built For Violent Markets",https://www.youtube.com/watch?v=851ZmXYon64,ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG058,Y0EbZhLin44,🔥 The Weekly IronFly Most Traders Are Missing,https://www.youtube.com/watch?v=Y0EbZhLin44,iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG059,nEgtT3KQ1yg,This Hedge can be Better than Covered Call ,https://www.youtube.com/watch?v=nEgtT3KQ1yg,covered_call,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG060,6HZUXkGns2A,This is why Retail Traders Miss Big Move (Right Way to Use PCR) ,https://www.youtube.com/watch?v=6HZUXkGns2A,iron_condor|iron_fly,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG061,mgZ7FWdG3c8,Top 02 Intraday Indicators for Real Edge,https://www.youtube.com/watch?v=mgZ7FWdG3c8,unresolved,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG062,boRpz56uI6o,🏆 Top Iron-Fly Trick of All Time,https://www.youtube.com/watch?v=boRpz56uI6o,debit_spread|iron_fly|leaps|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG063,3VaIprntqlA,Unique Sold Put Adjustment,https://www.youtube.com/watch?v=3VaIprntqlA,credit_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG064,o6CSaHAq50c,Weekly Calendar Strategy Theta + Hedge,https://www.youtube.com/watch?v=o6CSaHAq50c,calendar|iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG065,3dKrtjyX4hc,Weekly Cross Calendar ¦ Hedged Strategy ¦ #equityincome ,https://www.youtube.com/watch?v=3dKrtjyX4hc,calendar|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG066,gwPOZtHwLIc,Weekly Options Air Defense System  Built to Survive Gap Attacks,https://www.youtube.com/watch?v=gwPOZtHwLIc,iron_condor|ratio_spread|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG067,q9aOvZcvMEI,🎅Weekly Options Selling with Christmas Tree Options Strategy ,https://www.youtube.com/watch?v=q9aOvZcvMEI,ratio_spread|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG068,QlQVLenJ_Rc,Weekly Options Selling with ⚔️ Triple Confirmation Method ⚔️,https://www.youtube.com/watch?v=QlQVLenJ_Rc,straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG069,mQ0A07NzKmY,When VIX is Low - This Calendar Speaks Loudest,https://www.youtube.com/watch?v=mQ0A07NzKmY,calendar|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
