priority_score,priority_tier,video_id,title,family_hits,explicit_material_fields,conflicting_material_fields,missing_material_fields,requires_manual_review,backtest_allowed,web_evidence
1,T3,6S4Uj6rC_EE,How to Adjust Calendar Trades in Tough Markets ,calendar|ratio_spread|credit_spread,3,5,9,YES,NO,NOT_YET_CURATED
1,T3,GbmLdB95tv0,Low Vix Calendar Adjustments ,iron_fly|calendar|strangle|straddle,3,5,9,YES,NO,NOT_YET_CURATED
1,T3,mezwEBOn0bY,The Ratio Spread For 💪🏻 Alpha Sellers ,ratio_spread|strangle|debit_spread,3,5,9,YES,NO,NOT_YET_CURATED
1,T3,mQ0A07NzKmY,When VIX is Low - This Calendar Speaks Loudest,calendar|strangle|straddle,3,5,9,YES,NO,NOT_YET_CURATED
1,T3,gLWimSHdH9Y,03 Strike Iron-Fly Power Punch ❕,iron_fly|ratio_spread,2,3,12,YES,NO,NOT_YET_CURATED
1,T3,IpCuGEDxF1k,Bear Put Spread Attack Plan: When to Enter and How to Adjust,ratio_spread,2,3,12,YES,NO,NOT_YET_CURATED
1,T3,b-ZZIBhX7fI,Stock Options Masterclass: High IV Sniper Entry ,iron_fly|ratio_spread|strangle|straddle,2,3,12,YES,NO,NOT_YET_CURATED
0,T3,7t6y29xJRMg,🔥 Iron Fly Strategy Adjustment When Markets Turn Wild ⚔️ ,iron_fly|straddle,3,6,8,YES,NO,NOT_YET_CURATED
0,T3,6HZUXkGns2A,This is why Retail Traders Miss Big Move (Right Way to Use PCR) ,iron_fly|iron_condor,2,4,11,YES,NO,NOT_YET_CURATED
0,T3,GGmj3B9pxjU,A Twisted Sister : Tactical Straddle Upgrade,iron_condor|strangle|straddle,1,2,14,YES,NO,NOT_YET_CURATED
0,T3,ktqzzUvoUFA,STOCK OPTIONS WAR MODE - The RSI Entry,debit_spread,1,2,14,YES,NO,NOT_YET_CURATED
-1,T3,Y0EbZhLin44,🔥 The Weekly IronFly Most Traders Are Missing,iron_fly|straddle,3,7,7,YES,NO,NOT_YET_CURATED
-1,T3,0a5xwwkChd4,🦁#Leaps Passive Trading. Here's How.,ratio_spread,2,5,10,YES,NO,NOT_YET_CURATED
-1,T3,02Id0-s1upM,"""Magnet-Block"" Options Buyers Miss this Secret !",iron_fly|ratio_spread,1,3,13,YES,NO,NOT_YET_CURATED
-1,T3,D4JL_bRpG6Q,Covered Call Mastery With Downside Hedge 💀,covered_call,1,3,13,YES,NO,NOT_YET_CURATED
-1,T3,sAIzB6LTo4A,Diagonal Calendar Spread | For Low Vix Trading,calendar|diagonal|ratio_spread,1,3,13,YES,NO,NOT_YET_CURATED
-2,T3,9cetNfglyO4,Nifty Iron Dome Options Strategy ¦ 2 Adjustments Only for Working People,iron_fly|straddle,2,6,9,YES,NO,NOT_YET_CURATED
-2,T3,gwPOZtHwLIc,Weekly Options Air Defense System  Built to Survive Gap Attacks,ratio_spread|strangle,2,6,9,YES,NO,NOT_YET_CURATED
-2,T3,sMZGbncoeKo,The Iron Hedge | LEAPS Options Strategy,covered_call,1,4,12,YES,NO,NOT_YET_CURATED
-2,T3,7oxXpVnllW8,🔥 2 Viral Covered Call Tricks! | Equityincome,ratio_spread|covered_call,1,4,12,YES,NO,NOT_YET_CURATED
-2,T3,91kS7WII9Lg,🔥 Double Calendar Hedged Strategy For Busy People ,iron_fly|calendar,1,4,12,YES,NO,NOT_YET_CURATED
-3,T3,2gxtLyEkmHs,⚔️ Expiry Day Gamma Strategy for Intraday Traders,strangle|debit_spread,2,7,8,YES,NO,NOT_YET_CURATED
-3,T3,n1ZmTP7wwNM,"-₹₹ How I Rescued a Dying IronFly in One Simple Move""",iron_fly|iron_condor|straddle,1,5,11,YES,NO,NOT_YET_CURATED
-3,T3,5Dr2SL-MQxY,The Put Shield options Strategy,ratio_spread,1,5,11,YES,NO,NOT_YET_CURATED
-3,T3,Kh6zy3hy4Lo,🔥 IRON-FLY Damage Control Protocol,iron_fly|calendar,1,5,11,YES,NO,NOT_YET_CURATED
-3,T3,Cw_vTBiogm0,Ratio Spread + Sniper Hedge ,iron_condor|ratio_spread|straddle|credit_spread,0,3,14,YES,NO,NOT_YET_CURATED
-3,T3,q9aOvZcvMEI,🎅Weekly Options Selling with Christmas Tree Options Strategy ,ratio_spread|strangle|straddle,0,3,14,YES,NO,NOT_YET_CURATED
-4,T3,pnQ9zzOTrxA,IronFly Bounce Back Adjustment💭 ,iron_fly,2,8,7,YES,NO,NOT_YET_CURATED
-4,T3,xI3lwE-U3sc,⚡ Ratio Spread (Unheard) Adjustment BEAST MODE,ratio_spread,2,8,7,YES,NO,NOT_YET_CURATED
-4,T3,rWnouPoBqNE,1:3 RR IRON-FLY Spread Trading,iron_fly|straddle,1,6,10,YES,NO,NOT_YET_CURATED
-4,T3,jibvZlF_pzg,Cross Calendar Strategy,calendar,1,6,10,YES,NO,NOT_YET_CURATED
-4,T3,E9F9nCTyO-Q,Short Straddle: The Final Adjustment When All Else Fails,strangle|straddle,0,4,13,YES,NO,NOT_YET_CURATED
-4,T3,8Wr_PWXnztY,Smarter Covered Call | Stop Wasting Premium !,covered_call,0,4,13,YES,NO,NOT_YET_CURATED
-6,T3,mgZ7FWdG3c8,Top 02 Intraday Indicators for Real Edge,,1,8,8,YES,NO,NOT_YET_CURATED
-6,T3,o6CSaHAq50c,Weekly Calendar Strategy Theta + Hedge,iron_fly|calendar|straddle,1,8,8,YES,NO,NOT_YET_CURATED
-6,T3,jpetJcmqBiI,Iron Fly Rescue 🔥 ,iron_fly|ratio_spread|straddle|credit_spread|debit_spread,0,6,11,YES,NO,NOT_YET_CURATED
-8,T3,851ZmXYon64,"The Ratio Spread ""War"" Machine Built For Violent Markets",ratio_spread,0,8,9,YES,NO,NOT_YET_CURATED
