family_id,video_id,title,candidate_family_hint,cluster_confidence,source_fidelity,underlying_inferred,expiry_requirement,primary_source,primary_revision,primary_partition_path,primary_parquet_file_count,independent_source,independent_revision,independent_parquet_file_count,archive_provenance_present,historical_lot_size,historical_expiry_rule,quote_quality,readiness_state,backtest_allowed
EIG011,D4JL_bRpG6Q,Covered Call Mastery With Downside Hedge 💀,covered_call,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG012,igUs-iyxhzE,🔥Cross Calendar Setup for Working Professionals ,calendar|covered_call|iron_condor|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG013,jibvZlF_pzg,Cross Calendar Strategy,calendar,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG014,sAIzB6LTo4A,Diagonal Calendar Spread | For Low Vix Trading,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG015,91kS7WII9Lg,🔥 Double Calendar Hedged Strategy For Busy People ,calendar|iron_fly,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG016,2gxtLyEkmHs,⚔️ Expiry Day Gamma Strategy for Intraday Traders,debit_spread|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,WEEKLY_OR_INTRADAY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG017,8-p_oYdQzbQ,Fearless Calendar Strike Force,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG018,2p7qJSY3l0w,Frog Jump Stock Options Strategy for Working People |,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG019,n1ZmTP7wwNM,"-₹₹ How I Rescued a Dying IronFly in One Simple Move""",iron_condor|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG020,6S4Uj6rC_EE,How to Adjust Calendar Trades in Tough Markets ,calendar|credit_spread|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG021,O0I-27anGhY,IN-THE-M0NEY Covered Call Secrets No One Talks About !,covered_call,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG022,nPTyCdDcl_I,Intraday Stock Options Writing Strategy,unresolved,REVIEW_REQUIRED,UNRESOLVED,STOCK,WEEKLY_OR_INTRADAY,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,RULE_RECONSTRUCTION_REQUIRED,NO
EIG023,1eEQdN6sobc,Iron-Clad Option Strategy,iron_condor|iron_fly|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG024,1V-06qTH5Rc,Iron Condor Adjustment ,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG024,0qHsGg2YDIg,📌 Iron Condor Super Adjustments ,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG025,Kh6zy3hy4Lo,🔥 IRON-FLY Damage Control Protocol,calendar|iron_fly,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG026,jpetJcmqBiI,Iron Fly Rescue 🔥 ,credit_spread|debit_spread|iron_fly|ratio_spread|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG027,7t6y29xJRMg,🔥 Iron Fly Strategy Adjustment When Markets Turn Wild ⚔️ ,iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG028,pnQ9zzOTrxA,IronFly Bounce Back Adjustment💭 ,iron_fly,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG029,BaGDEK0Moik,IronFly Range Extender for Fast Markets,iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG030,sNFT-l6c54k,L.E.A.P.S - Set & Forget Leaps Formula,leaps|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG031,Hk55IhMoYAQ,Leaps Calendar pro Strategy for Working People,calendar|leaps|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG032,0a5xwwkChd4,🦁#Leaps Passive Trading. Here's How.,leaps|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG033,EZZzwpLpghM,"LOSING-OPTION-TRADE? ""USE TIME'"" Method | Bear Put , Bull Call Adjustment",debit_spread|iron_fly,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG034,GbmLdB95tv0,Low Vix Calendar Adjustments ,calendar|iron_fly|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG035,02Id0-s1upM,"""Magnet-Block"" Options Buyers Miss this Secret !",iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG036,5xz7X5QsFv8,Nifty Iron Dome ¦ 2 Adjustments Only for Working People ,iron_condor|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,NIFTY,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,options/NIFTY,267,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,4,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,CONTRACT_READY_FOR_CONTENT_JOIN,NO
EIG036,9cetNfglyO4,Nifty Iron Dome Options Strategy ¦ 2 Adjustments Only for Working People,iron_condor|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,NIFTY,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,options/NIFTY,267,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,4,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,CONTRACT_READY_FOR_CONTENT_JOIN,NO
EIG037,OvaJumYancs,No More Straddles. This Strategy Is Smarter,straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG038,Yaf0-MQpciA,Operation Budget Day: The Options Strategy + Adjustments + XXXL Wide Range,iron_fly|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG039,9xXF9gIKQ-A,Operation Double Iron - Diwali Special Video ,iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG040,3A8iiHtQs4I,Options Trading with ChatGPT - My Real TradingView Workflow ,unresolved,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,RULE_RECONSTRUCTION_REQUIRED,NO
EIG041,Cw_vTBiogm0,Ratio Spread + Sniper Hedge ,credit_spread|iron_condor|ratio_spread|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG042,xI3lwE-U3sc,⚡ Ratio Spread (Unheard) Adjustment BEAST MODE,ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG043,6_W4UpFsehs,Retail Option Seller's Diagonal Setup for Low Vix,calendar|diagonal|iron_condor,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG044,aRjY_O6U3nQ,Retail Option Sellers Need This First - STRANGLE AIR DEFENSE SYSTEM,iron_condor|jade_lizard|ratio_spread|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG045,hAy3T7sE5qo,🔥 RR 1:5 LEAPS OPTIONS STRATEGY ¦ Professional Hedged Setup ¦ #equityincome ,leaps|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG046,E9F9nCTyO-Q,Short Straddle: The Final Adjustment When All Else Fails,straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG047,8Wr_PWXnztY,Smarter Covered Call | Stop Wasting Premium !,covered_call,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG048,b-ZZIBhX7fI,Stock Options Masterclass: High IV Sniper Entry ,iron_fly|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,STOCK,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG049,-7kAJqEtBS8,Stock Options Selling with This Indicator | Catch better Levels #equityincome,debit_spread,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG050,ktqzzUvoUFA,STOCK OPTIONS WAR MODE - The RSI Entry,debit_spread,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG051,vluJW5DVDbg,"Straddle Adjustment So Smart, It Feels Unfair !",straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG052,ETiyK2Ybci8,Straddle In Loss? 1000 Point Hedged Adjustment,credit_spread|ratio_spread|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG053,QgsC28PVPXo,The Calendar Options Combat Plan For Working People,calendar,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG054,sMZGbncoeKo,The Iron Hedge | LEAPS Options Strategy,covered_call|leaps,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG055,5Dr2SL-MQxY,The Put Shield options Strategy,ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
