family_id,video_id,candidate_family_hint,cluster_confidence,data_source_primary,data_source_secondary,intraday_coverage,oi_availability,expiry_identity,historical_lot_size,quote_completeness,current_nifty_expiry,fii_dii_source,india_vix_source,global_gold_context,transaction_costs,feasibility_status,one_minute_path,rationale,backtest_allowed
EIG011,D4JL_bRpG6Q,covered_call,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
EIG012,igUs-iyxhzE,calendar|covered_call|iron_condor|ratio_spread|straddle|strangle,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
EIG013,jibvZlF_pzg,calendar,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG014,sAIzB6LTo4A,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG015,91kS7WII9Lg,calendar|iron_fly,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG016,2gxtLyEkmHs,debit_spread|strangle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG017,8-p_oYdQzbQ,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG018,2p7qJSY3l0w,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG019,n1ZmTP7wwNM,iron_condor|iron_fly|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG020,6S4Uj6rC_EE,calendar|credit_spread|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG021,O0I-27anGhY,covered_call,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
EIG022,nPTyCdDcl_I,unresolved,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,UNRESOLVED,NO_OR_NOT_VERIFIED,No stable canonical payoff-family requirement has yet been established.,NO
EIG023,1eEQdN6sobc,iron_condor|iron_fly|ratio_spread|straddle|strangle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG024,1V-06qTH5Rc,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,NSE contract/history + TradeMarkk where present,Rissin daily history where applicable,NOT_VERIFIED_FOR_LEAPS,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,Long-dated/LEAPS contract continuity is not yet verified from the cached 1-minute sources.,NO
EIG024,0qHsGg2YDIg,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,NSE contract/history + TradeMarkk where present,Rissin daily history where applicable,NOT_VERIFIED_FOR_LEAPS,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,Long-dated/LEAPS contract continuity is not yet verified from the cached 1-minute sources.,NO
EIG025,Kh6zy3hy4Lo,calendar|iron_fly,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG026,jpetJcmqBiI,credit_spread|debit_spread|iron_fly|ratio_spread|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG027,7t6y29xJRMg,iron_fly|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG028,pnQ9zzOTrxA,iron_fly,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG029,BaGDEK0Moik,iron_fly|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG030,sNFT-l6c54k,leaps|straddle|strangle,REVIEW_REQUIRED,NSE contract/history + TradeMarkk where present,Rissin daily history where applicable,NOT_VERIFIED_FOR_LEAPS,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,Long-dated/LEAPS contract continuity is not yet verified from the cached 1-minute sources.,NO
EIG031,Hk55IhMoYAQ,calendar|leaps|straddle,REVIEW_REQUIRED,NSE contract/history + TradeMarkk where present,Rissin daily history where applicable,NOT_VERIFIED_FOR_LEAPS,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,Long-dated/LEAPS contract continuity is not yet verified from the cached 1-minute sources.,NO
EIG032,0a5xwwkChd4,leaps|ratio_spread,REVIEW_REQUIRED,NSE contract/history + TradeMarkk where present,Rissin daily history where applicable,NOT_VERIFIED_FOR_LEAPS,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,Long-dated/LEAPS contract continuity is not yet verified from the cached 1-minute sources.,NO
