variant_id,family,entry_code,entry_description,trigger_code,trigger_description,adjustment_code,adjustment_description,exit_code,exit_description,wing_width_points,max_adjustments,expiry_regime,unit,execution_model,source_fidelity,pnl_allowed
ID11,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID12,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID13,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID14,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID15,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID16,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID17,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID18,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID19,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID20,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID21,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID22,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID23,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID24,NIFTY_IRON_DOME,THU_0930,Thursday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID25,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID26,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID27,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID28,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID29,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID30,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID31,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID32,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID33,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID34,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID35,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID36,NIFTY_IRON_DOME,FRI_0930,Friday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
