family_id,video_id,candidate_family_hint,cluster_confidence,source_fidelity,trade_source_primary,trade_source_revision,independent_source,independent_source_revision,index_option_partition_present,independent_nifty_partition_present,ohlc_available,bid_ask_available,tradeMarkk_intraday_oi,rissin_intraday_oi,expiry_identity,current_nifty_expiry,historical_lot_size_status,execution_price_model,india_vix,fii_dii,global_context,corporate_actions,feasibility_status,readiness_blocker,rationale,backtest_allowed
EIG001,gLWimSHdH9Y,iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG012,igUs-iyxhzE,calendar|covered_call|iron_condor|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
EIG013,jibvZlF_pzg,calendar,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG014,sAIzB6LTo4A,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG015,91kS7WII9Lg,calendar|iron_fly,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG016,2gxtLyEkmHs,debit_spread|strangle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG017,8-p_oYdQzbQ,calendar|diagonal|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG018,2p7qJSY3l0w,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG019,n1ZmTP7wwNM,iron_condor|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG020,6S4Uj6rC_EE,calendar|credit_spread|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG021,O0I-27anGhY,covered_call,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
EIG022,nPTyCdDcl_I,unresolved,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,UNRESOLVED,SOURCE_RULE_UNRESOLVED,No stable canonical payoff-family requirement has yet been established.,NO
EIG023,1eEQdN6sobc,iron_condor|iron_fly|ratio_spread|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG024,1V-06qTH5Rc,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,LONG_DATED_CONTINUITY_NOT_VERIFIED,Long-dated/LEAPS continuity and contract lifecycle coverage are not proven by the pinned 1-minute readiness sources.,NO
EIG024,0qHsGg2YDIg,iron_condor|iron_fly|leaps,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,LONG_DATED_CONTINUITY_NOT_VERIFIED,Long-dated/LEAPS continuity and contract lifecycle coverage are not proven by the pinned 1-minute readiness sources.,NO
EIG025,Kh6zy3hy4Lo,calendar|iron_fly,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
